path	category	confidence	loc_or_bytes	evidence	risk
docs/architecture/CutsceneExamples.md.meta	orphan-scene	high	158 bytes / 7 lines	A Unity .meta file for an asset OUTSIDE Assets/ — Unity never imports docs/, so this file is inert. Contains guid 4eeb7a7fe57a3424286bc465d7803361; `grep -rl 4eeb7a7fe57a3424286bc465d7803361 .` over the whole repo (all .unity/.prefab/.asset/.meta/.cs) returns only the file itself. Left behind when the doc was moved out of Assets/ during the restructure.	None. Unity cannot see it; nothing references its GUID.
docs/architecture/EntitySystem.md	superseded	high	7,864 bytes / 150 lines	Superseded by docs/architecture/AgentSystem.md (451 lines, same subject, current). Its profile table lists 10 EntityProfile_* components; `grep -rn 'class EntityProfile' Assets/Game/Scripts` returns exactly FOUR: EntityProfile_BaseAgent, EntityProfile_GenericEnemy, EntityProfile_NPC, EntityProfile_Vehicle. The other nine (HostileRobot, RobotPhil, RobotRoberto, RobotCath, RobotErnst, RobotHerdPatrol, DesertRat, BountyHunter, MountableAnt) do not exist anywhere in Assets/. It also documents StrafeModule (0 hits repo-wide) and EntityCombatModule (only a comment in EnemyBrain.cs).	Loses the priority-constant table, which AgentSystem.md may state differently — diff the two priority tables before deleting.
docs/architecture/InteriorScenes.md	duplicate	high	4,484 bytes / 53 lines	Both this file and docs/architecture/Interiors.md open with the identical H1 `# Interiors` and describe the same server-authoritative additive interior loader. This copy documents InteriorEntrance.cs and InteriorExit.cs as **Legacy** and points at `InteractableTransitionTrigger`, a type that no longer exists (renamed to InteractableTrigger — `grep` for the old name across Assets returns only two scene help-text strings and one .cs comment). Line 5 links to `../Transitions/README.md`; `ls docs/` shows only `architecture` and `superpowers`, so the link is dead.	Its 'Caveats / known limitations' section (single shared instance, loaded at world origin, in-memory return info) may not be duplicated in Interiors.md — merge that section across before deleting.
docs/architecture/TerrainGeneration.md	stale-doc	medium	30,800 bytes / 515 lines	Documents a feature set that no longer exists. Grepping Assets/ for the declared types returns ZERO hits for ArchingCaveFeature, BadlandsMazeFeature, FeatureSpline and VoxelSdfDensity; the doc also names ArchingCaveChunker/Placer/Planner/Plan/Sdf/Settings, BadlandsMazeChunker/Placer/Planner/Plan/Sdf/Settings, FeaturePath.cs, FlatPadFeature.cs and Boulders{Scatter,Sdf,Settings} — 18 .cs filenames with no counterpart on disk. `find Assets/Game/Scripts -ipath '*terrain*' -name '*.cs'` shows the surviving feature set is exactly two files: CliffFeature.cs and MesaFeature.cs.	The marching-cubes / footprint / density sections may still describe live code (TerrainMarchingCubesMesher, FeatureFootprint, HeightfieldDensity all exist). Rewrite rather than delete wholesale, or the only description of the live mesher goes too.
Archive/BlenderSnapshots/	backup	medium	16,765,539 bytes (16.0 MiB), 12 files	12 hand-named rollback snapshots (desert_crawler_PRENECK/PRETAIL/PRECOLLECTOR/PREDIGGER/PRERESEAT/PREFOOTFIX/HANDSTATE/WITH_TAIL_RECOVERED x9, field_backpack_PRE_NET_REBUILD, field_backpack_PRE_CABINET_REBUILD, ostrich_PRENECK_BACKUP). `git log --oneline --all -- <each>` returns 1 commit for every one, so git holds a full copy of each snapshot: deleting them from the working tree loses nothing recoverable. All the states they guard have since been superseded — neck, tail, collector and digger all landed in the live desert_crawler.blend, and the live ostrich.blend exists at Assets/Game/Art/Models/Creatures/Robotic/Ostrich/ostrich.blend (I checked specifically because MEMORY.md warns there is no git backup for it — there is now).	If a snapshot were ever needed it must be recovered via `git show <commit>:<path>` rather than from disk. Repo size is unaffected (blobs stay in history) — this only slims the checkout.
Archive/BlenderSources/CaveAlienAssets_Source.blend	unused-asset	medium	276,808 bytes (270 KB)	`grep -ril CaveAlien Assets docs .claude` returns nothing — zero references in code, prefabs, scenes, docs or the blender-model skill. No corresponding FBX or imported model exists under Assets/Game/Art/Models. Committed once (1 commit), so history retains it.	If the cave alien art is a planned asset, this is the only source. Nothing currently consumes it.
fmod_editor.log	generated	high	3,281 bytes	`git ls-files --error-unmatch fmod_editor.log` → 'did not match any file(s) known to git', and `git check-ignore -v` shows it matched by `.gitignore:17:*.log`. So it is an untracked FMOD editor log sitting at repo root, correctly ignored but never cleaned up. Last written Aug 12 01:59.	None — untracked and gitignored.
.claude/skills/blender-model/scripts/__pycache__/	generated	high	1 file	`git check-ignore -v` → matched by `.gitignore:24:__pycache__/`, so untracked. Contains index_library.cpython-313.pyc, bytecode regenerated on every skill run.	None.
.gitignore line 'Assets/Scenes/Chunks/'	dead-code	high	1 line	`ls -d Assets/Scenes/Chunks` → No such file or directory. `find Assets -type d -name Chunks` shows the two real locations: Assets/Game/Scenes/World/Chunks and Assets/Game/Scenes/Tests/FerdinandWorld/Chunks. `git ls-files | grep -c 'Chunks/'` = 581, i.e. the chunk scenes are deliberately TRACKED. The rule is a dead leftover from the pre-restructure layout and, worse, is misleading — it reads as if chunks are excluded.	None; it currently matches nothing.
.claude/settings.json — 5 of 17 allow-list entries	dead-code	high	5 lines	Five entries name pre-restructure paths that no longer exist, so they can never match again: `Assets/Scripts/agents/AI/motor/NavMeshAgentJumpMotor.cs`, `Assets/Scripts/` (grep allow), `Assets/Scenes/Interiors/InsideRuin.unity` (x2 awk allows), `Assets/Scenes/world/persistentScene.unity` (in settings.local.json). Verified: Assets/Scripts and Assets/Scenes do not exist — the tree is Assets/Game/Scripts and Assets/Game/Scenes. They are also hyper-specific whole-command literals (one exact awk invocation) that would not match again even with corrected paths.	None — dead allow-list entries only add prompt noise.
Packages/manifest.json — com.unity.timeline (1.8.11)	vendor-demo	medium	1 manifest line	`grep -rl 'Timeline\|PlayableDirector\|PlayableAsset' Assets/Game Assets/ThirdParty` returns nothing, and `find Assets -name '*.playable' -o -name '*.signal'` returns nothing. The cutscene system is hand-written: Assets/Game/Scripts/Presentation/Cutscenes/{Actions,Core,UI}. Also probed .asset files for TimelineAsset — 0 hits.	com.unity.visualscripting or the URP samples may declare a transitive dependency, in which case Unity silently re-adds it — harmless. Timeline is a player-code package, so removal shrinks the build.
Packages/manifest.json — com.unity.ai.assistant (2.6.0-pre.1) and com.unity.collab-proxy (2.11.4)	vendor-demo	medium	2 manifest lines	Zero references across all .cs/.unity/.prefab/.asset in Assets (probed for Unity.AI.Assistant and Unity.PlasticSCM). collab-proxy is Unity Version Control; this project is on git (.git present, 5,447 tracked files). ai.assistant is pinned to a PRE-RELEASE version in a shipping project.	Both are editor-only, so no build impact either way; removing them only cuts editor import time and the pre-release pin. If someone actually uses the AI Assistant window it disappears.
Packages/manifest.json — com.unity.modules.{tilemap,vr,xr,video,vectorgraphics}	dead-code	medium	5 manifest lines	Probed Assets (excluding Plugins) for Tilemap, UnityEngine.XR, VideoPlayer and Unity.VectorGraphics: 0 files each. These are built-in engine modules whose only cost is player build size.	Low, but Unity re-adds a built-in module automatically if any package declares it, and removing a module a future feature needs produces a confusing compile error rather than a clear one. Do these last and one at a time.
Assets/Game/Editor/Tests/WalkerPlatformCarrierTests.cs — the [Ignore]d test	dead-code	medium	~30 lines of the 219-line file	Line 103 carries `[Ignore("Carry is still a pose write. Deliberate: expressing it as velocity needs the ... is parked for now. This test is the contract that work has to satisfy.")]`. A permanently-skipped test documenting an aspiration — it never runs, so it asserts nothing. The prose belongs in a comment on WalkerPlatformCarrier, not in a fixture the runner reports as skipped forever.	Loses the written contract for future velocity-based carry work — keep the text as a comment on the production class.
Assets/Game/Scripts/Presentation/UI/Map/MapUI.cs	superseded	high	601 loc	GUID 0f251ffe17ec740bfb816f21df78039b appears ONLY in its own .meta across all of Assets/ + ProjectSettings/ (grep -rl). Declared types MapUI and MarkerVisual appear in no other .cs file (grep -rn 'MapUI' --include=*.cs excluding the Map folder returns nothing). Not in EditorBuildSettings. Superseded by MapHologramTerrain (GUID 77b0f783117524e86a88023381402ca7), which IS live: MapHologramTerrain.prefab (12c9fe0861d3c4309a988da2a133a969) is instanced in persistentScene.unity and Ferdinand_Test_world.unity. refcount 0 in refs.tsv.	Removes the project's only 2D/screen-space minimap. If the 3D hologram is ever judged too heavy for a corner-of-screen minimap this is the code you would restart from. Nothing at runtime breaks.
Assets/Game/Resources/MapTiles/ (240 PNGs + 240 .meta)	unused-asset	high	240 files, 127,440 bytes of PNG (1.9 MB of disk blocks); 240 texture assets forced into every build because they sit under Resources/	The only loader in the codebase is MapUI.cs:560 `Resources.Load<Sprite>($"MapTiles/Tile_{coord.x}_{coord.y}")`; grep -rn 'MapTiles' --include=*.cs over Assets/ returns only MapUI.cs:560 and MapTileBaker.cs (doc comment + output path). MapUI is itself 100% dead (row above). All 240 have refcount 0 in refs.tsv and appear in orphans.tsv. Independently stale: tile coords span x 0-19, y 0-11 (20x12 = 240) while WorldStreamingConfig.asset defines 48 chunks at 8x6 (x 0-7, y 0-5), so 192 of the 240 could never be addressed even if MapUI were revived.	If the 2D map is revived it must be re-baked (Editor window exists: MapTileBaker, output path Assets/Game/Resources/MapTiles). Re-baking is required anyway for the current 8x6 grid, so the existing tiles have no salvage value.
Assets/Game/Scripts/Presentation/UI/Map/MapTextures.cs	dead-code	high	172 loc	GUID b04e98f9ab64a434c80db681bcfcd1b5 appears only in its own .meta. grep -rn 'MapTextures' --include=*.cs over Assets/ returns only MapUI.cs (5 call sites: White, HexGrid, Scanlines, Triangle, RingMarker). Dies with MapUI. Distinct from UITheme, which is the live equivalent used by the 4 modern screens.	None beyond MapUI. Its procedural-sprite technique is duplicated (better) in UITheme.
Assets/Game/Scripts/Presentation/UI/Map/MapPOIController.cs	experiment	high	270 loc	GUID ed020b419ba3e4c07a5d119a8a02b015 appears only in its own .meta — never placed in any scene or prefab. grep -rn 'MapPOIController' --include=*.cs returns only its own file. A runtime 'press P, type a name, drop a POI' debug tool that builds its own Canvas + EventSystem. Its public RemoveAllDroppedPOIs() has 0 callers project-wide.	Loses an in-game POI-authoring tool. MapPOI.cs (live, in Chunk_17_10) is the design-time equivalent, so authoring POIs is still possible.
Assets/Game/Scripts/Presentation/UI/Map/MapMarker.cs	dead-code	high	57 loc	GUID 388245b7c5f3d4abb801d58a7d511ac0 appears only in its own .meta — never on any GameObject. grep -rn 'MapMarker\b' --include=*.cs finds no consumer (MapMarkerType and MapMarkerColors are a different, live file). Superseded by MapPOI.cs (GUID d1a4e319f9f54471fa9f6c3d16156d80), which does the same MapService registration with a stable id so chunk reload does not duplicate, and IS placed in Chunk_17_10.unity.	MapService.RegisterMarker() and RemoveMarker() lose their only callers and become dead too (see refactor note). MapHologramTerrain's OnMarkerRemoved subscription would then never fire.
Assets/Game/Art/Shaders/UI/Map/MapHolographic.shader	unused-asset	high	94 lines	GUID ccb83f045de7c4cb09bbed8bd628f560 appears only in its own .meta — no material, scene or prefab references it. Its declared name is `Shader "UI/MapHolographic"`, and the only Shader.Find for that string in the whole project is MapUI.cs:104 (dead). It is NOT in ProjectSettings/GraphicsSettings.asset m_AlwaysIncludedShaders (which contains only 7 built-in Unity shaders, all guid 0000000000000000f000000000000000).	None — it is already unreachable in player builds for the same stripping reason described in bug 1, and its only caller is being removed.
Assets/Game/Scripts/Presentation/UI/LobbyMenu/Core/Entity.cs	experiment	high	27 loc	GUID f1fce6cae5186384986e8309a2b0cd20 appears only in its own .meta. The bare token `Entity` (word-boundary grep, excluding EntityProfile/EntityAI/IEntity/EntityFaction/EntityTargetRegistry etc.) appears exactly ONCE in all of Assets/Game/**/*.cs — its own declaration on line 6. Body is an empty Start(), an empty die(), and `if (health <= 0) die();`. Carries an unused `using UnityEngine.Rendering`, 2-space indentation against the project's 4, and sits in a LobbyMenu UI folder despite being a health stub.	None. Note the type name is generic enough that leaving it risks a future ambiguity clash with the real agent Entity* types.
Assets/Game/Scripts/Presentation/UI/LobbyMenu/Flow/StartingGameManager.cs	superseded	high	43 loc	GUID 5d5ee3a2915d5ed43802c9e266019fae appears only in its own .meta; grep -rn 'StartingGameManager' --include=*.cs returns only its own file. Its sole method static async void StartGame(Lobby) has 0 callers and is not UnityEvent-bound (no occurrence in any .unity/.prefab). Superseded by LobbySystem.StartLobbyGame() at LobbySystem.cs:423, which performs the same host check + UpdateLobbyOptions{IsLocked=true} + NetworkManager.SceneManager.LoadScene, plus a convergence wait and error reporting. Also hardcodes the destination 'Tommy test scene' and imports the obsolete UNet namespace UnityEngine.Networking. Removing it empties the UI/LobbyMenu/Flow/ folder.	None — it is a NetworkBehaviour that was never placed on a NetworkObject and never invoked.
Assets/Game/Scripts/Presentation/Audio/AudioTestThingy.cs	experiment	high	20 loc	GUID cda71babeb894d84883a7e9a75cc57b1 appears in exactly two files: its own .meta and Assets/Game/Scenes/Tests/Markus Music Test Scene.unity. Not referenced from any shipping scene. Entire body is one commented-out line (`//RuntimeManager.PlayOneShot("event:/Music/TestSong"); Works!`) plus an empty Update().	Leaves a missing-script warning on the Markus Music Test Scene GameObject unless that object is removed too. That scene is test-only.
Assets/Game/Prefabs/UI/HUD/Interact.prefab	superseded	high	1 prefab + .meta	GUID 847b4ee92ba683c4892258a4da28f2a7 appears only in its own .meta (grep -rl over Assets/ + ProjectSettings/); refcount 0 in refs.tsv. Contents are a root 'Interact' with one TMP text child named 'PressToInteract' and two package component GUIDs (22e1d59f9dc944c0888cb501c3d5977f, f4688fdb7df04437aeb418b961361dc5) — no project scripts at all. Superseded by InteractionPromptUI.cs (233 loc), which is live on PlayerHUD.prefab and builds prompts at runtime via InteractionPromptResolver.	None — a static authored prompt panel that nothing instantiates.
Assets/Game/Scripts/Presentation/Cutscenes/Actions/ThirdPersonWalkThroughCutscene.cs	dead-code	medium	115 loc	refs.tsv: referenced only by Example_WalkThroughDoor_TP.prefab and VisualEffects/CutsceneExamples/CutsceneDoor.prefab — BOTH have refcount 0 (verified: all 11 prefabs under Prefabs/Cutscenes/ and Prefabs/VisualEffects/CutsceneExamples/ have refcount 0, i.e. none is instanced in any scene). No .cs references it. Contrast LookAtCutscene.cs, which I verified IS live: guid c25ef1ecbaa9444bcb85c8c5f7a74670 is a real wired component in Chunk_7_5.unity at line 28769 with target/blendInDuration/holdDuration/blendOutDuration set.	Removes the reference implementation of the third-person cutscene camera. The cutscene CORE (Cutscene, CutsceneAction, CutsceneRunner, CutsceneDirector, LetterboxOverlay) and LookAtCutscene are all live and must stay. The 11 example prefabs themselves fall in another auditor's scope (Prefabs/Cutscenes, Prefabs/VisualEffects) — coordinate so scripts and prefabs go together, or you get missing-script warnings.
Assets/Game/Scripts/Presentation/Cutscenes/Actions/CameraShakeCutscene.cs	dead-code	medium	59 loc	refs.tsv: referenced only by Example_CameraShake_Rubble.prefab, Example_TriggerVolume_Shake.prefab and CutsceneExamples/CutsceneDoor_C.prefab — all three refcount 0. No .cs references it.	Same as ThirdPersonWalkThroughCutscene — loses a worked example of the CutsceneAction API. Only remove together with the example prefabs.
Assets/Game/Scripts/Presentation/Cutscenes/Actions/WalkThroughDoorCutscene.cs	dead-code	medium	60 loc	refs.tsv: referenced only by Example_InteriorPortalDoor.prefab and Example_WalkThroughDoor_FP.prefab — both refcount 0. No .cs references it.	Same as above. Note Example_InteriorPortalDoor.prefab also wires Resources/Interiors/* assets that ARE used by live Chunk_7_5 and FerdinandChunk_3_1 — do not let removal of the prefab cascade into those .asset files.
Assets/Game/Prefabs/Legacy/ (all 12 prefabs: Hostiles/enemy, NPC/{NPC,NPC_Mechanic,NPC_Prospector,NPC_Settler,NPC_SkittishScavenger}, Robots/{Cath,Ernst,Phil,Roberto}, Templates/Template, Vehicles/Ship)	superseded	high	12 prefabs + 12 .meta, 0.56 MB	TOP-PRIORITY DELIVERABLE, fully resolved: ALL 12 are dead, ZERO are referenced by any live scene or prefab. Independently verified — extracted each prefab's GUID from its .meta and walked every file under Assets/, ProjectSettings/ and Packages/ (script a10_guids.py): 0 hits each (de3c7d2f…, 37057018…, ef1c1bb9…, 2ff8fdc0…, 5d86419e…, 42c39e59…, 4612134d…, 1d5901f3…, ae7c5429…, 02d82bf5…, 21e95623…, 7ea3f1a0…). Matches refs.tsv refcount=0 for all 12. Not in EditorBuildSettings. Not loadable by string: none are under a Resources/ folder, and grep of all .cs for the names NPC_Mechanic / NPC_Prospector / NPC_Settler / SkittishScavenger returns 0 hits; 'Roberto' and 'Ernst' appear only inside comments in Agents/Profiles/EntitySystemSetup.cs. git log --follow shows the path history: Assets/Prefabs/entities/ -> 'entities - legacy(still works)' (commit 1b8b4170) -> Legacy/ (b78bb097) -> Assets/Game/Prefabs/Legacy (4dfd6e83) — i.e. explicitly parked as a fallback during the modular-entity rewrite. Superseded by live equivalents: Cath->Agents/Robots/PatrolRobot.prefab (3 refs), Roberto->PatrolRobot 1 (2), Phil->PatrolRobot 2 (2), Ernst->PatrolRobot 3 (2); Legacy/Vehicles/Ship is a 100%-GUID-identical twin of Agents/Vehicles/Spacecraft/Ship.prefab (which is itself dead — the live ship is Prefabs/Vehicles/Ship.prefab, 7 refs).	Loses the pre-rewrite AI wiring reference (EnemyBrain.cs is referenced ONLY by Legacy/Hostiles/enemy.prefab, so deleting it makes that script dead too — hand off to the scripts auditor). Nothing at runtime or in the build changes. Zero risk to any scene.
Assets/Game/Scenes/World/MasterScene.unity + Assets/Game/Terrain/TerrainData/MasterScene Terrain/ (10 assets) + the 14 prefabs it is the sole referencer of	superseded	high	18.99 MB across 11 files, plus 14 cascade prefabs (~0.1 MB)	MasterScene.unity: refcount 0 in refs.tsv, absent from ProjectSettings/EditorBuildSettings.asset (verified: 263 entries, 15 non-chunk, MasterScene not among them), and grep of all .cs for 'MasterScene' returns 0 hits (no SceneManager.LoadScene by name). Content dump: 14 GameObjects, 1 MonoBehaviour — nine Terrain_(x,y,z) objects at 1000 m spacing plus 'structures'/'rocks'/'environment'/'temple1' — i.e. the hand-built 3x3 km world that Scenes/World/Chunks (248 chunk scenes) + Terrain/ChunkData (36 TerrainData_x_y assets) replaced. Exclusive cascade computed with a10_soleref.py against refs.tsv: 23 assets whose ONLY referencer is MasterScene.unity — Terrain_1_-1/1_0/1_1/2_-1/2_0/2_1/3_-1/3_0/3_1.asset, Prefabs/Environment/Nature/Rocks/Cube.{001,005,007,014,015,020,023,024,026,027,028}.prefab, Prefabs/Environment/Nature/Plants/{Cactus,Beavertail,Candelabre-thorns}.prefab. Plus TerrainData_ecf7abf9-ec7b-4129-b73f-644839fd21dd.asset (1.96 MB) in the same folder which is already at refcount 0 — a stray from an older bake.	Irreversible loss of the hand-sculpted 3x3 heightmaps if anyone still wants to re-bake from them. The Cube.0NN prefabs are all slices of the SAME source mesh (TempDemo/DemoScene.fbx, 35 refs) so the geometry itself survives. Delete the scene first and leave the terrain assets one release if nervous.
Assets/Game/Prefabs/Cutscenes/ (6 prefabs) and Assets/Game/Prefabs/VisualEffects/CutsceneExamples/ (5 prefabs)	experiment	high	11 prefabs, 0.14 MB	Two parallel example sets for the same feature, both entirely unreferenced. All 11 have refcount 0 in refs.tsv. Near-duplicate detection (a10_dupe.py, Jaccard over referenced-GUID multisets) pairs them across the two folders at 1.00/1.00/0.75: Cutscenes/Example_LookAt_Beacon == CutsceneExamples/CutsceneDoor_B (1.00), Example_CameraShake_Rubble == CutsceneDoor_C (1.00), Example_InteriorPortalDoor == CutsceneDoor (0.75). Every filename is literally prefixed 'Example_' or lives in a folder named 'CutsceneExamples'. Not in any scene. CutsceneExamples/InteriorManager.prefab (1364 bytes) is a bare InteriorManager component duplicating the one already placed directly in persistentScene.unity and Ferdinand_Test_world.unity. Only cascade: Resources/Interiors/Destination_ExitRuin.asset and Effect_* assets lose referencers (see separate row).	Loses worked examples of how to wire CutsceneDirector / InteriorPortal. Mitigate by keeping ONE set (Cutscenes/) if the team still uses them as documentation; the CutsceneExamples/ copy is strictly redundant.
Assets/Game/Audio/ (Master.bank, Master.strings.bank, Music.bank, SFX.bank, UI.bank) — OR the StreamingAssets copies, see risk	duplicate	high	2.69 MB duplicated (5.38 MB total in repo)	All five files are byte-identical to Assets/StreamingAssets/<same name> (md5: a48f5f091508, 94a4df3ffdf9, 28d9da5f64c1, d7e064b0f93a, be570a0b4336 — identical in both folders). BOTH copies are tracked by git (git ls-files confirms 10 .bank + 10 .meta tracked; .gitignore does not cover StreamingAssets). Root cause verified in Assets/Plugins/FMOD/Resources/FMODStudioSettings.asset: sourceBankPath: Assets/Game/Audio with ImportType: 0 (StreamingAssets) — FMOD copies the source banks from Assets/Game/Audio into Assets/StreamingAssets, so having the source inside Assets/ guarantees a permanent 1:1 duplicate that is both imported by Unity and committed twice.	DO NOT just delete Assets/Game/Audio — it is FMOD's source-of-truth and Assets/Game/Audio/GUIDs.txt is read by FMOD's editor tooling. Correct fix: move the source bank folder OUT of Assets/ (e.g. <repo>/Audio/FMODBanks/) and repoint FMODStudioSettings.sourceBankPath, then delete Assets/Game/Audio. If the source stays where it is, instead add /Assets/StreamingAssets/*.bank to .gitignore (they are regenerated). Getting this backwards breaks all audio at runtime.
Assets/Game/Art/Models/Environment/Ruins/SpaceRuin.fbx + Assets/Game/Art/Textures/Ruins/SpaceRuin_{Metallic,Normal,Roughness}.png	unused-asset	medium	13.09 MB (4 files) — the biggest byte win in Art/	All four at refcount 0 in refs.tsv/orphans.tsv. The only survivor of the set is SpaceRuin_Albedo.png (1 ref) via Art/Materials/Environment/Ruin1.mat, which is itself referenced only by Art/Models/.../RuinInterior/alien_ruin_entrance_prototype.fbx.meta — i.e. the material exists but the mesh it was authored for is not in any scene or prefab. Largest single orphan cluster in the Art tree.	If the ruin is planned content, this is 13 MB of authored art thrown away. Ask before deleting. The .fbx alone is 6.75 MB.
Assets/Game/Art/Models/Vehicles/Legacy/{walker,walker_arms,walker_leg,walker_legs,walker_rig,walker_station,walker_station_BACKUP,ship_model}.blend	superseded	medium	2.62 MB, 8 files	All 8 at refcount 0 (refs.tsv). Superseded by the Unity-invisible Blender library: Assets/Game/Art/Models/_Source~/components/mechanical/walker_leg.blend exists there, and _Source~/models/vehicles/ship_rv.blend is the current ship source. walker_station_BACKUP.blend is a literal backup filename. CRITICAL exception: 'ship_model 1.blend' in the SAME folder has refcount 1 and is the live model for Agents/Vehicles/Spacecraft/ShipRV.prefab — do not glob-delete the folder. Extra cost beyond bytes: Unity imports .blend by invoking Blender, so 8 dead .blend files are 8 unnecessary Blender launches on every fresh import.	Memory note 'shipped .blend files may carry hand edits the generator destroys' applies — if any of these carry hand edits not present in _Source~, they are unrecoverable. Diff object scales/dimensions against _Source~ before deleting.
Assets/Game/Art/Models/Vehicles/RV/{ship_model.blend, ship_model.fbx, ship_rv.fbx} and Assets/Game/Art/Models/Environment/Structures/Outpost/robot_rig/{walker_station.fbx, walker_station.blend1, walker_add_coxa.py}	duplicate	medium	1.73 MB + 4.95 MB = 6.68 MB, 6 files	All at refcount 0. There are THREE copies of the RV ship source in the tree (Vehicles/Legacy/ship_model.blend, Vehicles/RV/ship_model.blend, Vehicles/RV/ship_model.fbx) plus a 1.45 MB ship_rv.fbx export — and ShipRV.prefab references NONE of them; it references 'Vehicles/Legacy/ship_model 1.blend'. So the newer export pipeline (_Source~/models/vehicles/ship_rv.blend -> ship_rv.fbx) was built but the prefab was never repointed. robot_rig/walker_station.fbx (3.67 MB) is a third copy of the walker station whose live source is _Source~; walker_add_coxa.py is a Blender build script sitting inside the Unity-visible Assets tree (belongs in _Source~).	If someone intends to switch ShipRV to the new ship_rv.fbx, deleting it loses the export. Verify the intended pipeline with the author first. Deleting walker_add_coxa.py loses a generator script with no _Source~ counterpart — move it, don't delete it.
Assets/Game/Prefabs/VisualEffects/Lighting/Sun.prefab, Assets/Game/Prefabs/VisualEffects/Lighting/Global Volume.prefab, Assets/Game/Prefabs/Environment/Wind.prefab, Assets/Game/Prefabs/VisualEffects/Debug/Cube.prefab, Assets/Game/Prefabs/VisualEffects/Lines/line (1) 1.prefab, Assets/Game/Prefabs/Agents/Vehicles/Spacecraft/Ship.prefab, Assets/Game/Prefabs/Agents/Vehicles/Mounts/MountableAnt.prefab, Assets/Game/Prefabs/Agents/Creatures/MountableAnt.prefab	duplicate	high	8 prefabs + 1 cascade, ~0.08 MB	Restructure leftovers: each is an unreferenced twin of a live prefab. Verified pairs at guid-Jaccard 1.00 with a10_dupe.py plus refs.tsv refcounts — Environment/Sky/Sun.prefab (4 refs) == VisualEffects/Lighting/Sun.prefab (0); Environment/Sky/Global Volume.prefab (5) == VisualEffects/Lighting/Global Volume.prefab (0); Environment/Sky/Wind.prefab (3) == Environment/Wind.prefab (0); Items/Debug/Cube.prefab (6) vs VisualEffects/Debug/Cube.prefab (0); VisualEffects/Lines/line (1).prefab (2, used by GrapplingHook+Lasso) vs 'line (1) 1.prefab' (0). Agents/Vehicles/Spacecraft/Ship.prefab (0) is guid-identical (1.00) to Legacy/Vehicles/Ship.prefab (0) while the LIVE ship is Prefabs/Vehicles/Ship.prefab (7 refs incl. persistentScene, Blocking test, DefaultNetworkPrefabs). Both MountableAnt.prefab copies are at 0 refs. Cascade: deleting 'line (1) 1.prefab' also frees Items/Artifacts/ArtifactResources/Line.prefab, whose ONLY referencer it is.	Very low — each has a verified live twin still wired into the scenes. Only risk is deleting the wrong half; the refcounts above disambiguate.
Assets/Game/Prefabs/Environment/Nature/Plants/{Aloe..prefab, Barrel.001.prefab, Barrel.002.prefab, CaveAlgae.prefab}	unused-asset	high	4 prefabs, ~0.014 MB	All refcount 0. a10_dupe.py shows Aloe./Barrel.001/Barrel.002 are guid-identical (1.00) to the live Beavertail/Candelabre-thorns prefabs — all are variant slices of TempDemo/DemoScene.fbx. Two of them are BARRELS sitting in a folder called Plants (also a wrong-folder finding). 'Aloe..prefab' has a stray double dot in the filename. CaveAlgae.prefab is orphan and its material Art/Materials/Environment/CaveAlgaeGlow.mat is also orphan (the live one is AlgaeGlow.mat, 1 ref).	None found. If Beavertail/Candelabre-thorns go with MasterScene, this whole Plants folder becomes empty.
Assets/Game/Prefabs/Items/Equipment/FieldBackpack.prefab and Assets/Game/Art/Models/Props/field_backpack.fbx	superseded	high	2 files, ~0.06 MB	FieldBackpack.prefab refcount 0; the live pack is Items/Equipment/ExpeditionBackpack.prefab (1 ref, from PlayerCharacter.prefab). a10_dupe.py: guid-Jaccard 0.78 between the two. grep of all .cs for 'FieldBackpack' returns 0 hits. Matches the recorded design history that the backpack became a flap-top expedition pack. field_backpack.fbx has exactly 1 referencer — FieldBackpack.prefab — so it dies with it (expedition_backpack.fbx is the live model).	Cascade to watch: FieldBackpack.prefab is one of the 2 referencers of every ScriptableObjects/Items/*.asset; after deleting it those 6 assets are referenced only by ExpeditionBackpack.prefab (still live), so they survive.
Assets/Game/ScriptableObjects/Items/{AntiGravityFlask,GrapplingHook,Lasso,Leash,RocketArtifact,RuinScanner}.asset	duplicate	medium	6 assets	Six InventoryItem assets (m_Script -> Scripts/Items/Core/InventoryItem.cs) that duplicate Assets/Game/Resources/Items/Artifacts/*.asset — verified by matching itemPrefab fileID+guid pairs exactly: AntiGravityFlask<->AntiGravityPotion (fileID 7402587260625591437, guid 663a29fa…), GrapplingHook<->GrapplingHook (5175360877773462781 / 40fe281b…), Lasso<->Lasso (6774419219061973401 / bcffc184…), Leash<->Leash (4068742862036462037 / b3cbd114…), RocketArtifact<->RocketTurret (4378794949726358131 / 71e26f7a…), RuinScanner<->RuinScanner (9108599743836721641 / 196dc304…). Only the Resources/ copies enter the item registry: Scripts/Core/Registry/RegistryLoader.cs:19 does Resources.LoadAll<InventoryItem>("Items"), which cannot see ScriptableObjects/. The ScriptableObjects/ copies are referenced only by the two backpack prefabs.	HIGH RISK to delete blindly: ExpeditionBackpack.prefab (live) serializes direct references to these six. Deleting them empties the pack's authored default contents. Correct sequence is to repoint ExpeditionBackpack at the Resources/Items/Artifacts equivalents FIRST, then delete. Cascade: ScriptableObjects/Items/Leash.asset is the sole referencer of Art/Sprites/Items/Leash.png.
